word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
dozen,S2,W3,,ˈdʌzn,ˈdʌz(ə)n
one,S1,W1,wʌn,,
second,S1,W1,,ˈsekənd,ˈsek(ə)nd
three,S1,,θriː,,
