word,part_of_speech,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
alongside,adv/prep,,W3,,əˌlɔːŋˈsaɪd,əlɒŋˈsaɪd
already,adv,S1,W1,ɔːlˈredɪ,,
also,adv,S1,W1,ˈɔːlsəʊ,,
alter,v,S3,W3,,ˈɔːltər,ˈɔːltə
alternative,adj,S2,W2,,ɔːlˈtɜːrnətɪv,ɔːlˈtɜːnətɪv
alternative,n,S2,W3,,ɔːlˈtɜːrnətɪv,ɔːlˈtɜːnətɪv
although,conj,S1,W1,ɔːlˈðəʊ,,
altogether,adv,S2,W3,,ˌɔːltəˈɡeðər,ɔːltəˈɡeðə
always,adv,S1,W1,ˈɔːlweɪz,,
amazing,adj,S2,,əˈmeɪzɪŋ,,
ambition,n,,W3,,æmˈbɪʃn,æmˈbɪʃ(ə)n
ambulance,n,S3,,,ˈæmbjələns,ˈæmbjʊl(ə)ns
among,prep,S2,W1,əˈmʌŋ,,
amount,n,S1,W1,əˈmaʊnt,,
an,determiner/indefinite article,S1,W1,,ən,æn
analyse,v,,W3,,ˈænəlaɪz,ˈæn(ə)læɪz
analysis,n,S3,W1,,əˈnæləsɪs,əˈnælɪsɪs
analyst,n,,W2,,ˈænəlɪst,ˈæn(ə)lɪst
ancient,adj,,W2,,ˈeɪnʃənt,ˈeɪnʃ(ə)nt
and,conj,S1,W1,ænd (strong)/ənd (weak),,
anger,n,,W3,,ˈæŋɡər,ˈæŋɡə
angle,n,S3,W3,,ˈæŋɡl,ˈæŋɡ(ə)l
angry,adj,S3,W3,ˈæŋɡrɪ,,
animal,n,S1,W1,,ˈænɪml,ˈænɪm(ə)l
announce,v,S2,W1,əˈnaʊns,,
announcement,n,S3,W3,,əˈnaʊnsmənt,əˈnaʊnsm(ə)nt
annoy,v,S3,,əˈnɔɪ,,
annual,adj,S2,W2,ˈænjʊəl,,
another,determiner/pron,S1,W1,,əˈnʌðər,əˈnʌðə
answer,n,S1,W1,,ˈænsər,ˈɑːnsə
answer,v,S1,W2,,ˈænsər,ˈɑːnsə
anticipate,v,S3,,ænˈtɪsɪpeɪt,,
anxiety,n,S3,W3,,æŋˈzaɪətɪ,æŋˈzæɪətɪ
anxious,adj,S3,W3,,ˈæŋkʃəs,ˈæŋ(k)ʃəs
any,determiner/pron,S1,W1,ˈenɪ,,
any,adv,S2,,ˈenɪ,,
anybody,pron,S1,W3,,ˈenɪbɑːdɪ,ˈenɪbɒdɪ
anyhow,adv,S3,,ˈenɪhaʊ,,
anyone,pron,S1,W1,ˈenɪwʌn,,
anything,pron,S1,W1,ˈenɪθɪŋ,,
anyway,adv,S1,W2,ˈenɪweɪ,,
anywhere,adv,S1,W3,,ˈenɪwer,ˈenɪweə
apart,adj/adv,S2,W1,,əˈpɑːrt,əˈpɑːt
apartment,n,S2,W3,,əˈpɑːrtmənt,əˈpɑːtm(ə)nt
apologize,v,S2,,,əˈpɑːlədʒaɪz,əˈpɒlədʒaɪz
apology,n,S3,,,əˈpɑːlədʒɪ,əˈpɒlədʒɪ
apparent,adj,,W2,,əˈpærənt,əˈpær(ə)nt
apparently,adv,S1,W2,əˈpærəntlɪ,,
appeal,n,S2,W1,əˈpiːl,,
appeal,v,S3,W3,əˈpiːl,,
appear,v,S2,W1,,əˈpɪr,əˈpɪə
appearance,n,,W2,,əˈpɪrəns,əˈpɪər(ə)ns
apple,n,S2,W3,,ˈæpl,ˈæp(ə)l
application,n,S1,W1,,ˌæplɪˈkeɪʃn,æplɪˈkeɪʃ(ə)n
apply,v,S1,W1,əˈplaɪ,,
appoint,v,S2,W2,əˈpɔɪnt,,
appointment,n,S2,W2,,əˈpɔɪntmənt,əˈpɔɪntm(ə)nt
appreciate,v,S2,W3,əˈpriːʃɪeɪt,,
approach,n,S2,W1,əˈprəʊtʃ,,
approach,v,S2,W2,əˈprəʊtʃ,,
appropriate,adj,S2,W1,,əˈprəʊprɪət (strong)/əˈprəʊprɪət (weak),əˈprəʊprɪeɪt (strong)/əˈprəʊprɪeɪt (weak)
approval,n,S2,W3,,əˈpruːvl,əˈpruːv(ə)l
approve,v,S3,W2,əˈpruːv,,
